id,county,latitude,longitude,wellDepth,LandSurfaceElevation,WaterElevation,Saturated Thickness,DepthFromLSD,Month,Day,Year
2317501,Lubbock,33.6916670,-101.9197220,51.815998341888054,1007.9735677448458,966.9566330573876,30.029999999999745,41.01693468745814,2,6,1995
2317506,Lubbock,33.6791670,-101.9250000,45.110398556467246,998.5247680472074,962.5278891991076,19.90000000000009,35.99687884809985,12,9,2014
2317601,Lubbock,33.6766670,-101.8888890,48.463198449177646,997.3055680862218,957.3767693639434,23.90000000000009,39.928798722278444,12,26,2014
2317712,Lubbock,33.6363890,-101.9600010,53.339998293120054,995.7815681349898,965.3015691103498,45.5,30.47999902464003,8,6,1999
2317801,Lubbock,33.6313890,-101.9575010,36.575998829568036,995.4767681447435,967.9167530266639,75.57999999999993,27.560015118079537,2,4,2004
2318109,Lubbock,33.7330550,-101.8361110,57.60719815656966,1005.2303678326282,952.0427695346314,4.599999999999909,53.18759829799686,1,4,2016
2318301,Lubbock,33.7383340,-101.7836110,104.85119664476171,1002.791967910657,934.297314102486,103.98000000000002,68.49465380817102,2,14,2008
2318409,Lubbock,33.6994450,-101.8452780,59.13119810780166,1000.3535679886859,949.3148096219262,-5.549999999999727,51.03875836675968,12,23,2014
2318502,Lubbock,33.6786110,-101.8002780,56.08319820533766,993.9527681935115,948.8484656368491,6.820000000000164,45.104302556662326,1,14,2003
2318506,Lubbock,33.6869450,-101.8066670,53.94959827361286,997.3055680862218,947.7085136733276,13.580000000000382,49.597054412894195,12,23,2014
2318701,Lubbock,33.6538890,-101.8400000,48.76799843942405,985.4183684666123,955.8527694127114,56.40000000000009,29.56559905390083,1,16,1999
2318703,Lubbock,33.6288890,-101.8458340,42.67199863449604,987.2471684080906,960.8088172541179,55.26000000000022,26.438351153972697,1,15,2015
2318712,Lubbock,33.6547230,-101.8383340,60.350398068787264,986.027968447105,956.7458333841333,59.32999999999993,29.28213506297173,1,4,2016
2318802,Lubbock,33.6461110,-101.7927780,64.61759793223686,981.455968593409,948.5771936455299,91.13000000000011,32.878774947879165,2,3,2016
2319101,Lubbock,33.7086120,-101.7488890,74.06639762987528,989.9903683203082,928.5152582875118,88.00999999999976,61.47511003279649,1,31,2000
2319304,Lubbock,33.7366667,-101.6538889,91.4399970739201,987.8567683885834,913.4855707684617,89,74.37119762012168,1,16,2015
2319501,Lubbock,33.7038890,-101.6772220,91.4399970739201,981.455968593409,911.016690847466,88.80000000000018,70.43927774594309,12,22,2014
2319601,Lubbock,33.6772220,-101.6394450,108.81359651796491,975.9695687689738,904.231843064581,96.53999999999996,71.73772570439282,1,16,2015
2319704,Lubbock,33.6497220,-101.7408340,72.84719766888968,972.0071688957706,933.1695541385742,111.07999999999993,38.83761475719635,1,15,2003
2319707,Lubbock,33.6652780,-101.7383340,74.67599761036807,976.5791687494666,926.9607783372551,81.21000000000004,49.6183904122115,2,3,2016
2319804,Lubbock,33.6347220,-101.6944450,74.67599761036807,964.3871691396106,927.5917143170652,96.38000000000011,36.79545482254539,1,26,1996
2320401,Lubbock,33.7075010,-101.5950000,102.10799673254411,975.9695687689738,904.7560990478049,119.96000000000004,71.21346972116893,1,4,2016
2320701,Lubbock,33.6525000,-101.6250000,79.85759744455689,966.8255690615817,900.4279391863059,92.25999999999976,66.39762987527588,2,9,2015
2320805,Lubbock,33.6650010,-101.5786110,98.7551968398337,969.263968983553,898.0687872617989,86.51999999999998,71.19518172175417,12,22,2014
2325304,Lubbock,33.5927780,-101.8983340,45.71999853696005,983.8943685153802,969.5108569756526,98.80999999999995,14.383511539727648,12,8,2014
2325318,Lubbock,33.5847220,-101.8872220,60.95999804928006,983.2847685348875,971.208592921325,106.38000000000011,12.076175613562347,3,17,2009
2325319,Lubbock,33.5988890,-101.8855560,52.42559832238086,981.7607685836554,968.5446410065715,111.53999999999996,13.216127577083956,3,1,2013
2325401,Lubbock,33.5819440,-101.9761110,63.39839797125126,1007.0591677741066,965.5911291010838,65.94999999999982,41.46803867302282,12,8,2014
2325504,Lubbock,33.5633340,-101.9397220,42.67199863449604,995.4767681447435,978.2982406944562,44.33999999999969,17.17852745028716,2,4,2016
2325508,Lubbock,33.5438890,-101.9277780,34.44239889784323,991.5143682715402,982.5410565586861,-5.7400000000002365,8.973311712854041,12,20,2013
2325611,Lubbock,33.5688890,-101.9152780,35.051998878336036,987.5519683983371,980.7671206154521,3.7399999999997817,6.784847782884937,1,17,2003
2325613,Lubbock,33.5722220,-101.9033340,36.271198839321634,980.5415686226698,975.0795527974543,92.77999999999975,5.4620158252155155,12,20,2013
2325614,Lubbock,33.5802780,-101.9163890,38.70959876129284,988.7711683593226,974.9759208007705,87.53999999999996,13.795247558552145,1,29,2014
2325704,Lubbock,33.5411110,-101.9894450,53.339998293120054,1004.315967861889,965.2893771107399,49.86000000000013,39.02659075114909,1,18,2007
2325705,Lubbock,33.5052780,-101.9663890,43.281598614988845,999.4391680179466,974.0554248302263,75.31999999999971,25.383743187720277,12,8,2014
2325803,Lubbock,33.5400000,-101.9572230,45.71999853696005,996.0863681252363,977.2497287280087,82.69999999999982,18.836639397227597,12,23,2013
2325804,Lubbock,33.5244440,-101.9180550,41.14799868326404,990.599968300801,982.5441045585887,118.57000000000016,8.05586374221231,1,23,2013
2325904,Lubbock,33.5116670,-101.8858340,32.918398946611234,984.1991685056266,973.5098328476853,91.32999999999993,10.689335657941308,12,19,2014
2325906,Lubbock,33.5361110,-101.9050010,32.00399897587203,983.8943685153802,981.5321685909706,79.75,2.3621999244096026,1,8,2001
